"Nível";"Cód.";"Brasil e Unidade da Federação";"2015"
"BR";"1";"Brasil";"204450049";"Pessoas"
"UF";"11";"Rondônia";"1768204";"Pessoas"
"UF";"12";"Acre";"803513";"Pessoas"
"UF";"13";"Amazonas";"3938336";"Pessoas"
"UF";"14";"Roraima";"505665";"Pessoas"
"UF";"15";"Pará";"8175113";"Pessoas"
"UF";"16";"Amapá";"766679";"Pessoas"
"UF";"17";"Tocantins";"1515126";"Pessoas"
"UF";"21";"Maranhão";"6904241";"Pessoas"
"UF";"22";"Piauí";"3204028";"Pessoas"
"UF";"23";"Ceará";"8904459";"Pessoas"
"UF";"24";"Rio Grande do Norte";"3442175";"Pessoas"
"UF";"25";"Paraíba";"3972202";"Pessoas"
"UF";"26";"Pernambuco";"9345173";"Pessoas"
"UF";"27";"Alagoas";"3340932";"Pessoas"
"UF";"28";"Sergipe";"2242937";"Pessoas"
"UF";"29";"Bahia";"15203334";"Pessoas"
"UF";"31";"Minas Gerais";"20869101";"Pessoas"
"UF";"32";"Espírito Santo";"3929911";"Pessoas"
"UF";"33";"Rio de Janeiro";"16550024";"Pessoas"
"UF";"35";"São Paulo";"44396484";"Pessoas"
"UF";"41";"Paraná";"11163018";"Pessoas"
"UF";"42";"Santa Catarina";"6819190";"Pessoas"
"UF";"43";"Rio Grande do Sul";"11247972";"Pessoas"
"UF";"50";"Mato Grosso do Sul";"2651235";"Pessoas"
"UF";"51";"Mato Grosso";"3265486";"Pessoas"
"UF";"52";"Goiás";"6610681";"Pessoas"
"UF";"53";"Distrito Federal";"2914830";"Pessoas"
